title,doi,journal,pmid,tags
The molecular and hormonal regulation of cotton fiber development: from single-c,10.1186/s42397-026-00264-2,Journal of Cotton Research,,"development, metabolism, light, hormone, epigenetic, single-cell, multi-omics, g"
Global Dynamic Molecular Profiling of Stomatal Lineage Cell Development by Singl,10.1016/j.molp.2020.06.010,,,"development, single-cell"
Single-nucleus RNA and ATAC sequencing reveals the impact of chromatin accessibi,10.1016/j.molp.2021.01.001,,,"immunity, epigenetic, single-cell, multi-omics"
Single-Cell RNA Sequencing Resolves Molecular Relationships Among Individual Pla,10.1104/pp.18.01482,,,"development, single-cell"
Integrated single-nucleus and spatial transcriptomics captures transitional stat,10.1038/s41477-023-01387-z,,,"development, spatial-omics, single-cell, multi-omics"
A gene expression map of the Arabidopsis root.,10.1126/science.1090022,,,"development, single-cell"
Nano-biochar regulates soil enzymatic activities and nitric oxide signaling to i,10.1016/j.plaphy.2026.111365,,,"stress, immunity, metabolism, light, signaling"
PfCYP94C179 endows resistance to fenoxaprop-P-ethyl in Polypogon fugax: insights,10.1111/tpj.70926,,,"immunity, metabolism, epigenetic, gene-regulation"
SlSEC1- and SlSPY-mediated O-glycosylation stabilizes the transcription factor S,10.1093/plcell/koag144,,,"metabolism, hormone, multi-omics, gene-regulation"
Novel cytoplasmic male sterile line development and stage-specific metabolomic p,10.1186/s12870-026-08896-x,,,"development, metabolism, light, cell-cycle, multi-omics"
Comparative genome-wide identification and analysis of the COMT gene family in p,10.1186/s12870-026-08771-9,,,"development, stress, immunity, metabolism, single-cell, gene-regulation"
Age-Dependent Modulation of Antioxidant Defense and Secondary Metabolite Accumul,10.1016/j.plantsci.2026.113237,,,"development, stress, immunity, metabolism, light"
Biodegradation of polyvinyl chloride (PVC) microplastics in superworms (Zophobas,10.1111/1744-7917.70298,,,"stress, metabolism"
CsMYB6 promotes crocins biosynthesis in response to JA signaling in Crocus sativ,10.1016/j.jplph.2026.154801,,,"development, metabolism, gene-regulation, signaling"
"Rice cold tolerance: Physiological responses, molecular regulatory networks, and",10.1016/j.plaphy.2026.111422,,,"development, stress, multi-omics, signaling"
Transcriptomic and physiological analyses reveal the mechanism of acetylene-indu,10.1016/j.plantsci.2026.113239,,,"development, metabolism, hormone, epigenetic, multi-omics, signaling"
CDC48A and the UBA-domain protein PUX10 regulate the ubiquitin-dependent degrada,10.1093/plcell/koag149,,,"development, metabolism, cell-cycle, signaling"
Barley HvBODYGUARD1 controls cuticular specialisations regulated by SHINE transc,10.1111/nph.71287,,,"development, stress, gene-regulation"
Endogenous RALF peptide function is required for powdery mildew host colonizatio,10.1111/nph.71282,,,"development, immunity, light, signaling"
Copper-sensitive OsSPL9 TF regulates expression of indica rice domestication-ass,10.1038/s42003-026-10325-6,,,"stress, metabolism, epigenetic, gene-regulation"
Genomic and population analyses reveal asymmetric subgenome evolution and local,10.1038/s42003-026-10373-y,,,"stress, metabolism"
Endophyte Bacillus sp. RE35 Enhances Cd Trap in Rice Roots Via Root Cell Wall Re,10.1111/pce.70640,,,"stress, metabolism, hormone, signaling"
A Plasmodiophora Brassicae Effector PbCBM1 Promotes Clubroot Susceptibility by C,10.1111/pce.70638,,,"immunity, metabolism, hormone, senescence"
Effects of bio-slurry and chemical fertilizer on soil fertility and productivity,10.1186/s12870-026-09092-7,,,"stress, metabolism, cell-cycle, multi-omics"
Enhancing the selection of drought tolerance varieties of rice (Oryza sativa) us,10.1186/s12870-026-09055-y,,,"development, stress, immunity, light, single-cell"
Integrated multi-omics analysis reveals a lipid-redox regulatory network underly,10.1186/s12870-026-09098-1,,,"stress, immunity, metabolism, light, multi-omics, signaling"
"Integrated transcriptomic, metabolomic, and physiological analyses underlying di",10.1186/s12870-026-09109-1,,,"stress, immunity, metabolism, light, multi-omics"
Metabolomics reveals McF6'H1-mediated regulation of phenylpropanoid/flavonoid me,10.1186/s12870-026-09089-2,,,"immunity, metabolism, regeneration, multi-omics"
Plant immune dysregulation disrupts microbe-induced growth promotion and microbi,10.1016/j.xplc.2026.101927,,,"immunity, signaling"
GhOFP1-GhTALE-GhXTHB transcriptional cascade regulates cotton stem vascular camb,10.1016/j.xplc.2026.101938,,,"development, cell-cycle, single-cell, gene-regulation, signaling, wood"
Volatiles released by undamaged plants mediate the adaptive growth strategies in,10.1093/jxb/erag252,,,"stress, immunity, regeneration"
A Rare Allele of ST5 From Wild Rice Enhances Salt Tolerance in Rice.,10.1002/advs.202516159,,,"stress, metabolism, gene-regulation"
Drought-responsive TaMIP1 controls root density to confer the tradeoff between g,10.1093/plphys/kiag191,,,"development, stress, immunity, hormone, signaling"
Staurosporine Targets Mitochondrial Regulator VdAtuA3 to Disrupt Mitochondrial H,10.1111/pbi.70690,,,"stress, immunity, metabolism, signaling"
Genome-wide association study reveals stable loci and candidate genes for cotton,10.1007/s00122-026-05261-2,,,"metabolism, multi-omics"
Pangenomics and single-cell transcriptomics uncover the genetic basis of continu,10.1093/hr/uhaf228,,,"development, metabolism, light, hormone, single-cell, multi-omics"
Laminar patterning transcription factors orchestrate spatial metabolite partitio,10.1038/s41477-026-02293-w,,,"development, metabolism, spatial-omics, single-cell, multi-omics, gene-regulatio"
Single-cell and haplotype-resolved transcriptomics reveal molecular signatures o,10.1016/j.molp.2026.03.016,,,"development, single-cell, multi-omics, gene-regulation, wood"
Natural variation in OsbHLH150 confers chilling tolerance in rice by increasing,10.1016/j.xplc.2026.101919,,,"development, stress, metabolism, gene-regulation, signaling"
created: 2026-05-28,10.1111/nph.70160status:,,,reference
Single-cell transcriptomes reveal spatiotemporal heat stress response in pearl m,10.1111/nph.70232,,,"development, stress, single-cell, gene-regulation, wood"
Mapping plant cell-type-specific responses to environmental stresses.,10.1016/j.tplants.2026.03.003,,,"stress, immunity, light, spatial-omics, single-cell"
Transcription Profiling of Potato Leaves in Response to Heat Stress at Single-Ce,10.1111/pbi.70546,,,"development, stress, single-cell, multi-omics, gene-regulation, wood"
Origin of the blastema in regenerating limbs of the newt Triturus viridescens,10.1016/0012-1606(61)90009-4,Developmental Biology,,"development, immunity"
ESPript: analysis of multiple sequence alignments in PostScript.,10.1093/bioinformatics/15.4.305,,,light
Fluorescence Activated Cell Sorting of Plant Protoplasts,10.3791/1673-v,Journal of Visualized Experiments,,reference
Root canal preparation using micro-computed tomography analysis: a literature re,10.1590/1807-3107bor-2018.vol32.0066,,,reference
Asymmetric leaves1 mediates leaf patterning and stem cell function in Arabidopsi,10.1038/35050091,,,"development, stress"
Role of PHABULOSA and PHAVOLUTA in determining radial patterning in shoots.,10.1038/35079635,,,"development, metabolism, light, signaling"
A Simple Protocol for Mapping the Plant Root System Architecture Traits.,10.3791/64876,,,"development, senescence"
Cell Proliferation Analysis Using EdU Labeling in Whole Plant and Histological S,10.1007/978-1-4939-3142-2_13,,,"development, immunity, cell-cycle, single-cell"
Optimizing RNA-Seq Mapping with STAR.,10.1007/978-1-4939-3572-7_13,,,reference
Isolation of Arabidopsis Palisade and Spongy Mesophyll Cells.,10.1007/978-1-4939-8657-6_9,,,"light, single-cell, gene-regulation"
Computer vision as a tool to study plant development.,10.1007/978-1-60327-563-7_16,,,development
Representation of Mathematical Knowledge in National Knowledge Infrastructure,10.1360/jos171731,Journal of Software,,reference
Defining the Path from Stem Cells to Differentiated Tissue.,10.1016/bs.ctdb.2015.12.002,,,"development, cell-cycle, gene-regulation"
化学抑制剂：植物细胞周期研究的工具,10.1016/S0014-5793(00)01675-6,FEBS Letters,,"cell-cycle, signaling"
稻草人基因调节不对称的细胞分裂，这对于产生桡骨,10.1016/S0092-8674(00)80115-4,Cell,,reference
狼人是拟南芥中的MYB相关蛋白，是表皮细胞的位置依赖性调节因子,10.1016/S0092-8674(00)81536-6,Cell,,reference
细胞周期依赖性翻译控制,10.1016/S0959-437X(00)00150-7,Current Opinion in Genetics &amp; Development,,development
根表皮中的位置信息在胚胎发育过程中定义，并在,10.1016/S0960-9822(98)70176-9,Current Biology,,reference
玉米单核转录组全面描述了控制moveme的信号网络,10.1093/plcell/koac047,,,"development, metabolism, light, hormone, single-cell, multi-omics, signaling"
植物干细胞壁龛。,10.1146/annurev-arplant-042811-105555,,,"development, signaling, wood"
分生组织大小的控制。,10.1146/annurev-arplant-042817-040549,,,"development, epigenetic, multi-omics, gene-regulation, signaling, wood"
根系发育的分子和环境调控。,10.1146/annurev-arplant-050718-100423,,,"development, gene-regulation"
第十二届国际材料科学与工程年会（ ICMSE ）,10.4028/b-XDTcg5,Advances in Science and Technology,,reference
SMNN ：通过监督相互最近邻对单细胞RNA-seq数据的批量效应校正,10.1093/bib/bbaa097,,,"development, single-cell, multi-omics"
scAPAtrap ：从单细胞R中鉴定和定量替代性聚腺苷酸化位点,10.1093/bib/bbaa273,,,"development, single-cell"
CIForm作为大规模单细胞RNA-seq数据的细胞类型标注的基于Transformer的模型,10.1093/bib/bbad195,,,"development, single-cell, multi-omics"
movAPA ：生物样本中替代聚腺苷酸化动态的建模和可视化,10.1093/bioinformatics/btaa997,,,"development, single-cell, signaling"
全基因组中端转录谱揭示了人体组织中的表达水平关系,10.1093/bioinformatics/bti042,,,"development, light"
使用Burrows-Wheeler变换进行快速准确的短读对齐。,10.1093/bioinformatics/btp324,,,development
从部分观察重建时空基因表达数据。,10.1093/bioinformatics/btp437,,,"development, multi-omics"
变体调用格式和VCFtools。,10.1093/bioinformatics/btr330,,,development
复杂的热图揭示了多维基因组数据中的模式和相关性。,10.1093/bioinformatics/btw313,,,stress
SCODE ：一种来自单细胞RNA-Seq的有效调控网络推断算法，在不同的,10.1093/bioinformatics/btx194,,,"development, immunity, single-cell"
fastp ：超快的多合一FASTQ预处理器。,10.1093/bioinformatics/bty560,,,development
条形码、UMI、SET FORMAT和BUStools。,10.1093/bioinformatics/btz279,,,"development, single-cell"
建立叶极性：小RNA和位置信号在拍摄顶点中的作用。,10.1242/dev.000497,,,"development, signaling"
拟南芥的不对称叶片发育和叶片扩张由KANADI和YABBY ACTI介导,10.1242/dev.01186,,,"development, single-cell"
ACAULIS5通过预防细胞过早死亡来控制拟南芥木质部规格。,10.1242/dev.019349,,,"development, senescence, wood"
拟南芥分生组织干细胞生态位的高分辨率基因表达图谱。,10.1242/dev.106104,,,"development, stress, immunity, light, single-cell"
大鼠原肠胚形成期间异常快速的细胞周期表征。,10.1242/dev.117.3.873,,,"development, cell-cycle"
<i>拟南芥</i>根系发育：根系形态发生显著改变的四种突变体,10.1242/dev.119.1.57,Development,,development
拟南芥根的细胞组织。,10.1242/dev.119.1.71,,,development
联合芽MERISTEMLESS和WUSCHEL触发拟南芥异位器官发生。,10.1242/dev.129.13.3207,,,"development, immunity, cell-cycle, signaling"
拟南芥侧根的出现依赖于生长素的转录因子LBD29调节,10.1242/dev.136283,,,"development, hormone, gene-regulation, signaling"
拟南芥中熊皮转录因子对根冠成熟和细胞脱离的控制。,10.1242/dev.142331,,,"development, metabolism, cell-cycle"
Regeneration or scarring: an immunologic perspective.,10.1002/dvdy.10239,,,"development, immunity, regeneration, signaling"
created: 2026-05-28,10.7554/eLife.26792.024,,,reference
Cutadapt removes adapter sequences from high-throughput sequencing reads,10.14806/ej.17.1.200,EMBnet.journal,,reference
Single-cell transcriptomics reveals heterogeneity in plant responses to the envi,10.1093/jxb/erae107,,,"immunity, single-cell, signaling"
Roles of the bundle sheath cells in leaves of C3 plants.,10.1093/jxb/erm335,,,"development, stress, metabolism, light, senescence"
Novel imaging-based phenotyping strategies for dissecting crosstalk in plant dev,10.1093/jxb/erv265,,,"development, metabolism, light, multi-omics, senescence"
Histone deacetylase HDA9 negatively regulates salt and drought stress responsive,10.1093/jxb/erv562,,,"development, stress, hormone, epigenetic, gene-regulation"
Spatially resolved transcriptomic analysis of the germinating barley grain.,10.1093/nar/gkad521,,,"development, metabolism, hormone, spatial-omics, single-cell, gene-regulation"
Genetic evidence that the endodermis is essential for shoot gravitropism in Arab,10.1046/j.1365-313X.1998.00137.x,,,reference
Degradation of the cyclin-dependent kinase inhibitor KRP1 is regulated by two di,10.1111/j.1365-313X.2007.03370.x,,,"immunity, cell-cycle, signaling"
"Arabidopsis PCFS4, a homologue of yeast polyadenylation factor Pcf11p, regulates",10.1111/j.1365-313X.2008.03455.x,,,"development, gene-regulation"
The DOF transcription factor OBP1 is involved in cell cycle regulation in Arabid,10.1111/j.1365-313X.2008.03641.x,,,"development, immunity, epigenetic, cell-cycle, gene-regulation, signaling"
"Two Arabidopsis 3-ketoacyl CoA synthase genes, KCS20 and KCS2/DAISY, are functio",10.1111/j.1365-313X.2009.03973.x,,,"stress, metabolism"
The development of Arabidopsis as a model plant.,10.1111/j.1365-313X.2009.04086.x,,,"development, multi-omics"
The intracellular Arabidopsis COPT5 transport protein is required for photosynth,10.1111/j.1365-313X.2010.04472.x,,,"light, cell-cycle, wood"
Controlling the False Discovery Rate: A Practical and Powerful Approach to Multi,10.1111/j.2517-6161.1995.tb02031.x,Journal of the Royal Statistical Society Series B: Statistical Methodology,,reference
Regression Shrinkage and Selection Via the Lasso,10.1111/j.2517-6161.1996.tb02080.x,Journal of the Royal Statistical Society Series B: Statistical Methodology,,reference
Chemical inhibition of the histone acetyltransferase activity in Arabidopsis tha,10.1016/j.bbrc.2016.12.086,,,"development, stress, immunity, epigenetic"
Plant stem cell niches: standing the test of time.,10.1016/j.cell.2008.02.001,,,"development, senescence"
Nonstochastic reprogramming from a privileged somatic cell state.,10.1016/j.cell.2014.01.020,,,"immunity, cell-cycle, regeneration"
Transit-amplifying cells orchestrate stem cell activity and tissue regeneration.,10.1016/j.cell.2014.02.057,,,"development, cell-cycle, regeneration, multi-omics, signaling"
The Root Cap Cuticle: A Cell Wall Structure for Seedling Establishment and Later,10.1016/j.cell.2019.01.005,,,"development, stress, metabolism"
A Jasmonate Signaling Network Activates Root Stem Cells and Promotes Regeneratio,10.1016/j.cell.2019.03.006,,,"development, stress, immunity, metabolism, regeneration, signaling"
Spatiotemporal transcriptomic atlas of mouse organogenesis using DNA nanoball-pa,10.1016/j.cell.2022.04.003,,,reference
An Arabidopsis single-nucleus atlas decodes leaf senescence and nutrient allocat,10.1016/j.cell.2025.03.024,,,reference
Molecular Mechanisms Driving Switch Behavior in Xylem Cell Differentiation.,10.1016/j.celrep.2019.06.041,,,reference
Cell-type-specific responses to fungal infection in plants revealed by single-ce,10.1016/j.chom.2023.08.019,,,reference
AP2/ERF转录因子WIND1控制拟南芥细胞去分化,10.1016/j.cub.2011.02.020,Current Biology,,reference
Rules and Self-Organizing Properties of Post-embryonic Plant Organ Cell Division,10.1016/j.cub.2015.12.047,,,reference
Plant Stem Cells.,10.1016/j.cub.2016.07.070,,,reference
植物的生长防御权衡,10.1016/j.cub.2022.04.070,Current Biology,,reference
The cellular basis for animal regeneration.,10.1016/j.devcel.2011.06.016,,,reference
A bHLH complex controls embryonic vascular tissue establishment and indeterminat,10.1016/j.devcel.2012.12.013,,,reference
Faculty Opinions recommendation of Spatiotemporal Developmental Trajectories in,10.3410/f.735384662.793561483,Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature,,reference
Spatiotemporal Developmental Trajectories in the Arabidopsis Root Revealed Using,10.1016/j.devcel.2019.02.022,,,reference
Chromatin Accessibility Dynamics and a Hierarchical Transcriptional Regulatory N,10.1016/j.devcel.2020.07.003,,,reference
The single-cell stereo-seq reveals region-specific cell subtypes and transcripto,10.1016/j.devcel.2022.04.011,,,reference
Mechanical conflict caused by a cell-wall-loosening enzyme activates de novo sho,10.1016/j.devcel.2022.07.017,,,reference
Spatiotemporal transcriptomic landscape of rice embryonic cells during seed germ,10.1016/j.devcel.2024.05.016,,,reference
Glutathione accelerates the cell cycle and cellular reprogramming in plant regen,10.1016/j.devcel.2024.12.019,,,reference
Reactive oxygen species-dependent wound responses in animals and plants.,10.1016/j.freeradbiomed.2012.10.538,,,reference
Responses of belowground fine root biomass and morphology in Robinia pseudoacaci,10.1016/j.gecco.2024.e02863,Global Ecology and Conservation,,reference
Single-nucleus RNA sequencing of Nicotiana tabacum seedlings reveals heterogenei,10.1016/j.indcrop.2023.117825,Industrial Crops and Products,,reference
Method selection in craniofacial measurements: advantages and disadvantages of 3,10.1016/j.jcms.2008.12.005,,,reference
Histone deacetylation-mediated cellular dedifferentiation in Arabidopsis.,10.1016/j.jplph.2015.12.006,,,reference
The technology and biology of single-cell RNA sequencing.,10.1016/j.molcel.2015.04.005,,,reference
Comparative Analysis of Single-Cell RNA Sequencing Methods.,10.1016/j.molcel.2017.01.023,,,reference
A Growing Toolbox to Image Gene Expression in Single Cells: Sensitive Approaches,10.1016/j.molcel.2018.07.022,,,reference
Single-Cell Transcriptome Analysis in Plants: Advances and Challenges.,10.1016/j.molp.2020.10.012,,,reference
MINI-EX: Integrative inference of single-cell gene regulatory networks in plants,10.1016/j.molp.2022.10.016,,,reference
Differentiation trajectories and biofunctions of symbiotic and un-symbiotic fate,10.1016/j.molp.2022.10.019,Molecular Plant,,reference
Cell-specific pathways recruited for symbiotic nodulation in the Medicago trunca,10.1016/j.molp.2022.10.021,,,reference
High-resolution anatomical and spatial transcriptome analyses reveal two types o,10.1016/j.molp.2023.03.005,,,reference
Single-cell RNA sequencing reveals a hierarchical transcriptional regulatory net,10.1016/j.molp.2023.10.008,,,reference
Systematic identification of wheat spike developmental regulators by integrated,10.1016/j.molp.2024.01.010,,,reference
WIND1 controls cell fate transition through coordinately integrating histone ace,10.1016/j.molp.2026.03.005,,,reference
The dynamic plant stem cell niches.,10.1016/j.pbi.2007.07.001,,,reference
"The integration of cell division, growth and differentiation.",10.1016/j.pbi.2009.11.001,,,reference
Plant stem cell niches: from signalling to execution.,10.1016/j.pbi.2010.08.001,,,reference
Stem cell maintenance in shoot apical meristems.,10.1016/j.pbi.2011.10.008,,,reference
Signaling in shoot and flower meristems of Arabidopsis thaliana.,10.1016/j.pbi.2013.11.011,,,reference
"O cell, where art thou? The mechanisms of shoot meristem patterning.",10.1016/j.pbi.2014.11.002,,,reference
Linking cell cycle to stomatal differentiation.,10.1016/j.pbi.2019.03.010,,,reference
A single-cell view of tissue regeneration in plants.,10.1016/j.pbi.2019.09.003,,,reference
Transcriptome and GWAS analyses reveal candidate gene for seminal root length of,10.1016/j.plantsci.2019.110380,,,reference
Review: Challenges and perspectives in applying single nuclei RNA-seq technology,10.1016/j.plantsci.2022.111486,,,reference
"Regeneration in plants and animals: dedifferentiation, transdifferentiation, or",10.1016/j.tcb.2010.12.004,,,reference
Intricacies of single-cell multi-omics data integration.,10.1016/j.tig.2021.08.012,,,reference
Deep Learning for Plant Stress Phenotyping: Trends and Future Perspectives.,10.1016/j.tplants.2018.07.004,,,reference
Single-Cell Transcriptomics: A High-Resolution Avenue for Plant Functional Genom,10.1016/j.tplants.2019.10.008,,,reference
Single-Cell Genomics and Epigenomics: Technologies and Applications in Plants.,10.1016/j.tplants.2020.04.016,,,reference
Crafting a blueprint for single-cell RNA sequencing.,10.1016/j.tplants.2021.08.016,,,reference
Cell cycle-regulated gene expression in Arabidopsis.,10.1074/jbc.M207570200,,,reference
"Curcumin, a novel p300/CREB-binding protein-specific inhibitor of acetyltransfer",10.1074/jbc.M409024200,,,reference
Reactive oxygen species regulate auxin levels to mediate adventitious root induc,10.1111/jipb.12870,,,reference
WHIRLY1 recruits the histone deacetylase HDA15 repressing leaf senescence and fl,10.1111/jipb.13272,,,reference
A gene regulatory network for root epidermis cell differentiation in Arabidopsis,10.1371/journal.pgen.1002446,,,reference
Alternative 3'-untranslated regions regulate high-salt tolerance of Spartina alt,10.1093/plphys/kiad030,,,reference
Leaf cell-specific and single-cell transcriptional profiling reveals a role for,10.1093/plcell/koac167,,,reference
PAT1-type GRAS-domain proteins control regeneration by activating DOF3.4 to driv,10.1093/plcell/koad028,,,reference
Transcriptional activation by WRKY23 and derepression by removal of bHLH041 coor,10.1093/plcell/koad255,,,reference
Targeted interactomics reveals a complex core cell cycle machinery in Arabidopsi,10.1038/msb.2010.53,,,reference
Single-cell polyadenylation site mapping reveals 3' isoform choice variability.,10.15252/msb.20156198,,,reference
APL regulates vascular tissue identity in Arabidopsis.,10.1038/nature02100,,,reference
Chromatin organization and cell fate switch respond to positional information in,10.1038/nature04269,,,reference
The plant immune system.,10.1038/nature05286,,,reference
Conserved factors regulate signalling in Arabidopsis thaliana shoot and root ste,10.1038/nature05703,,,reference
Organ regeneration does not require a functional stem cell niche in plants.,10.1038/nature07597,,,reference
Cells keep a memory of their tissue origin during axolotl limb regeneration.,10.1038/nature08152,,,reference
Stomagen positively regulates stomatal density in Arabidopsis.,10.1038/nature08682,,,reference
A novel protein family mediates Casparian strip formation in the endodermis.,10.1038/nature10070,,,reference
Integrative genomics viewer.,10.1038/nbt.1754,,,reference
Near-optimal probabilistic RNA-seq quantification.,10.1038/nbt.3519,,,reference
Massively parallel digital transcriptional profiling of single cells.,10.1038/ncomms14049,,,reference
Arabidopsis ERF109 mediates cross-talk between jasmonic acid and auxin biosynthe,10.1038/ncomms6833,,,reference
Cis and trans determinants of epigenetic silencing by Polycomb repressive comple,10.1038/ng.3937,,,reference
Single-cell sequencing reveals dissociation-induced gene expression in tissue su,10.1038/nmeth.4437,,,reference
Cell type-specific expression profiling in plants via cell sorting of protoplast,10.1038/nmeth0805-615,,,reference
Are above- and below-ground phenology in sync?,10.1111/nph.13111,,,reference
50 years of Arabidopsis research: highlights and future directions.,10.1111/nph.13687,,,reference
Integration of genome wide association studies and co-expression networks reveal,10.1111/nph.17469,,,reference
RRS1 shapes robust root system to enhance drought resistance in rice.,10.1111/nph.18775,,,reference
Plant root mechanisms and their effects on carbon and nutrient accumulation in d,10.1111/nph.19676,,,reference
Single-cell multiome reveals root hair-specific responses to salt stress.,10.1111/nph.70160,,,reference
Regeneration and defense: unveiling the molecular interplay in plants.,10.1111/nph.70171,,,reference
Exploring the untapped potential of single-cell and spatial omics in plant biolo,10.1111/nph.70220,,,reference
The heterodimeric transcription factor complex ERF115-PAT1 grants regeneration c,10.1038/nplants.2016.165,,,reference
Spatially resolved transcriptome profiling in model plant species.,10.1038/nplants.2017.61,,,reference
Plant and animal stem cells: similar yet different.,10.1038/nrm3790,,,reference
A quantitative scale of spike initial and pistil development in barley and wheat,10.1093/oxfordjournals.aob.a086434,,,reference
OsHDA710-Mediated Histone Deacetylation Regulates Callus Formation of Rice Matur,10.1093/pcp/pcaa086,,,reference
Joint genetic and network analyses identify loci associated with root growth und,10.1111/pce.12691,,,reference
"Jasmonic acid coordinates with light, glucose and auxin signalling in regulating",10.1111/pce.14290,,,reference
Revisiting the role of MAPK signalling pathway in plants and its manipulation fo,10.1111/pce.14606,,,reference
Members of the NPF3 transporter subfamily encode pathogen-inducible nitrate/nitr,10.1093/pcp/pct167,,,reference
Calpain-Mediated Positional Information Directs Cell Wall Orientation to Sustain,10.1093/pcp/pcv110,,,reference
Response of <i>in situ</i> root phenotypes to potassium stress in cotton.,10.7717/peerj.15587,,,reference
EXPANSIN A1-mediated radial swelling of pericycle cells positions anticlinal cel,10.1073/pnas.1820882116,,,reference
Wounding-induced changes in cellular pressure and localized auxin signalling spa,10.1073/pnas.2003346117,,,reference
"AtREM1, a member of a new family of B3 domain-containing genes, is preferentiall",10.1104/pp.010323,,,reference
"Arabidopsis thickvein mutation affects vein thickness and organ vascularization,",10.1104/pp.104.055756,,,reference
Compilation of mRNA polyadenylation signals in Arabidopsis revealed a new signal,10.1104/pp.105.060541,,,reference
Protein geranylgeranyltransferase I is involved in specific aspects of abscisic,10.1104/pp.105.065045,,,reference
The Arabidopsis zinc finger-homeodomain genes encode proteins with unique bioche,10.1104/pp.105.070565,,,reference
AINTEGUMENTA contributes to organ polarity and regulates growth of lateral organ,10.1104/pp.106.076604,,,reference
Combining expression and comparative evolutionary analysis. The COBRA gene famil,10.1104/pp.106.087262,,,reference
The Arabidopsis histone deacetylases HDA6 and HDA19 contribute to the repression,10.1104/pp.107.111674,,,reference
Root Architecture and Plant Productivity.,10.1104/pp.109.1.7,,,reference
Arabidopsis LON2 is necessary for peroxisomal function and sustained matrix prot,10.1104/pp.109.142505,,,reference
